3806,-1,-1,-1,-1,-1,1,-1,-1,1
85,-1,1,-1,-1,1,1,-1,-1,1
358,1,1,-1,1,-1,-1,-1,-1,-1
373,1,1,-1,1,-1,1,1,1,1
3889,-1,1,1,-1,-1,-1,-1,1,-1
406,-1,1,1,1,1,-1,-1,1,-1
93,-1,-1,-1,-1,-1,1,-1,1,-1
1896,1,1,1,-1,1,-1,1,1,-1
605,-1,-1,-1,-1,1,-1,1,1,1
9349,1,-1,1,1,1,-1,-1,-1,-1
437,1,1,-1,-1,-1,-1,-1,1,-1
4112,1,1,1,-1,-1,-1,-1,1,1
13573,1,-1,-1,1,1,1,1,1,-1
65,-1,1,1,1,1,-1,1,1,1
8225,1,1,1,1,-1,-1,1,1,-1
5566,-1,-1,1,1,-1,1,-1,-1,1
5416,-1,-1,-1,-1,-1,-1,-1,1,1
75,1,-1,1,1,-1,1,-1,1,-1
284,1,-1,-1,-1,-1,1,-1,-1,1
63,1,1,-1,-1,1,1,1,1,1
103,-1,1,-1,1,-1,-1,1,-1,-1
5016,1,-1,-1,1,-1,-1,1,1,-1
7,1,1,-1,-1,1,1,-1,1,1
385,1,-1,1,1,1,-1,1,1,1
61,-1,-1,-1,-1,1,1,-1,1,-1
115546,1,-1,-1,1,1,1,-1,-1,-1
751,1,1,1,1,1,-1,-1,-1,-1
22221,1,-1,1,1,1,-1,-1,-1,1
132,-1,1,-1,1,-1,1,1,1,1
3952,-1,1,1,-1,-1,-1,1,-1,-1
73698,-1,1,1,1,1,1,-1,-1,1
88,1,-1,-1,-1,-1,1,-1,-1,-1
58,1,1,1,1,-1,-1,1,-1,1
991,1,1,1,1,1,-1,1,1,1
60470,1,-1,1,1,1,1,-1,1,1
270,-1,-1,1,1,1,1,1,1,-1
102,-1,1,-1,-1,1,1,1,-1,-1
11,1,-1,1,-1,-1,1,-1,1,-1
3846,-1,-1,-1,-1,-1,1,1,-1,-1
29,1,-1,1,-1,-1,-1,-1,1,-1
42,-1,1,-1,-1,-1,1,1,-1,1
32,-1,-1,-1,1,-1,-1,1,-1,1
800,1,-1,-1,1,1,-1,1,1,1
260,1,-1,-1,-1,1,1,-1,-1,-1
1230,-1,-1,1,-1,1,-1,1,-1,-1
903,1,1,1,-1,-1,-1,1,-1,1
56638,1,1,1,1,1,1,1,1,1
266,1,-1,-1,1,-1,1,1,1,1
10877,-1,1,1,-1,-1,1,1,1,-1
4909,1,-1,1,-1,1,1,1,-1,-1
8076,1,-1,1,1,1,-1,1,-1,-1
813,1,-1,-1,1,-1,1,-1,1,1
8228,-1,-1,1,1,1,-1,-1,-1,1
30,-1,1,-1,-1,1,1,-1,-1,-1
726,1,-1,1,1,-1,-1,1,-1,-1
73955,-1,-1,-1,-1,1,-1,1,-1,-1
217,1,1,1,-1,1,1,-1,-1,1
2244,-1,-1,-1,1,1,1,1,1,-1
570,-1,1,1,-1,-1,-1,1,-1,1
49,-1,1,-1,1,1,-1,1,1,1
2058,1,1,-1,-1,-1,1,1,1,-1
463,-1,-1,1,1,1,1,-1,1,-1
16306,1,-1,-1,1,1,1,-1,1,1
75,-1,-1,1,-1,-1,-1,-1,1,-1
110477,1,1,-1,-1,-1,-1,1,1,-1
153,1,-1,1,1,1,-1,-1,1,-1
429,-1,-1,1,1,1,-1,-1,1,1
164534,1,1,1,1,1,1,-1,1,1
7330,-1,-1,-1,1,-1,-1,-1,-1,1
19997,1,1,1,-1,-1,1,1,1,-1
517,1,-1,-1,-1,-1,1,1,-1,1
49568,-1,1,1,1,-1,1,-1,1,1
1153,1,-1,1,1,1,-1,1,1,-1
2094,1,-1,-1,1,1,-1,-1,1,-1
32,1,-1,-1,-1,1,-1,-1,1,1
13570,1,-1,-1,1,1,-1,1,1,-1
399,1,1,1,1,-1,-1,1,-1,-1
6592,-1,1,1,1,-1,1,-1,-1,1
7231,1,1,1,-1,-1,-1,1,-1,-1
337,-1,1,-1,1,1,1,1,1,1
16490,-1,-1,-1,1,1,1,1,-1,-1
1440,-1,1,-1,1,1,-1,-1,1,-1
1642,1,-1,-1,-1,-1,1,1,1,-1
24493,-1,1,1,-1,-1,-1,-1,1,1
18,-1,-1,1,1,-1,-1,1,-1,-1
3785,-1,-1,-1,1,1,1,-1,1,-1
1987,-1,-1,-1,-1,-1,1,1,1,-1
89,1,1,1,-1,-1,1,-1,1,-1
629,1,-1,1,-1,1,-1,1,1,-1
18,-1,-1,1,1,-1,-1,1,1,-1
152,-1,1,-1,1,1,1,1,-1,-1
1222,1,1,1,1,-1,-1,-1,1,-1
2460,-1,1,1,1,1,-1,-1,1,1
4241,-1,1,1,1,1,1,-1,-1,-1
48,1,1,-1,1,-1,1,1,-1,-1
111,1,-1,-1,1,-1,1,-1,1,-1
1646,1,1,1,1,1,-1,-1,-1,1
172,1,-1,1,-1,1,-1,-1,-1,-1
677,-1,-1,1,-1,-1,1,1,1,1
736,-1,-1,-1,-1,-1,1,-1,1,1
1469,-1,1,-1,1,-1,-1,-1,-1,-1
546,-1,1,1,-1,-1,1,1,-1,-1
5,-1,-1,1,-1,1,1,-1,1,-1
3322,-1,1,1,-1,-1,1,-1,-1,1
249,-1,1,-1,-1,-1,1,-1,1,-1
399,1,-1,-1,-1,-1,-1,-1,1,-1
81449,-1,-1,-1,1,1,-1,-1,-1,1
16344,-1,-1,-1,1,1,-1,1,-1,-1
1324,-1,-1,-1,-1,1,1,1,1,-1
2823,-1,-1,1,-1,-1,-1,-1,-1,1
2943,1,-1,1,1,-1,1,-1,1,1
1118,1,-1,1,1,1,-1,-1,1,1
2224,1,1,-1,1,1,1,1,1,-1
997,1,-1,1,-1,-1,-1,-1,-1,1
5,1,-1,1,-1,1,-1,-1,1,-1
360,1,1,1,-1,1,1,-1,1,1
413,1,-1,1,-1,-1,-1,-1,-1,-1
2829,1,1,1,1,-1,-1,1,1,1
5095,1,1,1,1,1,1,-1,-1,-1
106,-1,-1,-1,1,1,-1,1,1,1
2163,-1,1,1,-1,1,1,-1,1,1
19,1,1,-1,1,-1,-1,1,-1,1
1687,1,-1,1,-1,1,1,1,1,1
1408,1,-1,-1,1,-1,1,-1,-1,-1
500,1,1,1,1,-1,-1,-1,-1,-1
656,1,-1,1,-1,1,1,1,1,-1
140,1,-1,1,1,-1,-1,1,1,1
6,-1,-1,1,-1,1,-1,-1,1,-1
3701,-1,1,-1,-1,1,-1,1,1,-1
21123,1,1,1,1,-1,1,1,1,1
9,1,1,1,-1,1,1,-1,-1,-1
14862,-1,1,-1,-1,-1,-1,1,-1,-1
